regid,smiles,Pgood
S11592,O=C1NC(=O)N2NC=CC2=C1,0.9
S11593,O=C1NC(=O)N2C=CNC2=C1,0.92
S11594,O=C1NC(=O)c2c[nH]cc2N1,0.96
S11595,O=C1NC(=O)N2OC=CC2=C1,0.92
S11596,O=C1NC(=O)N2C=COC2=C1,0.88
S11597,O=C1NC(=O)c2cocc2N1,0.95
S11599,O=C1NC(=O)N2C=CSC2=C1,0.92
S116,O=C1NN=CC(=O)N1,0.93
S11600,O=C1NC(=O)c2cscc2N1,0.99
S11601,O=C1NC(=O)N2NN=CC2=C1,0.9
S11602,O=C1NC(=O)N2C=NNC2=C1,0.93
S11603,O=C1NC(=O)c2c[nH]nc2N1,0.96
S11604,O=C1NC(=O)c2n[nH]cc2N1,0.95
S11606,O=C1NC(=O)N2C=NOC2=C1,0.75
S11607,O=C1NC(=O)c2conc2N1,0.92
S11608,O=C1NC(=O)c2nocc2N1,0.92
S1161,O=C1Nc2[nH]ncc2N=C1,0.97
S11611,O=C1NC(=O)c2csnc2N1,0.94
S11612,O=C1NC(=O)c2nscc2N1,0.94
S11613,O=C1NC(=O)N2NC=NC2=C1,0.95
S11614,O=C1NC(=O)N2N=CNC2=C1,0.94
S11616,O=C1NC(=O)N2N=COC2=C1,0.93
S11618,O=C1NC(=O)N2N=CSC2=C1,0.93
S11619,O=C1NC(=O)N2NN=NC2=C1,0.9
S1162,O=C1Nc2cn[nH]c2N=C1,0.97
S11620,O=C1NC(=O)N2N=NNC2=C1,0.93
S11621,O=C1NC(=O)c2n[nH]nc2N1,0.96
S11627,O=C1NC(=O)c2nonc2N1,0.99
S11628,O=C1NC(=O)c2nsnc2N1,0.99
S11629,O=C1NN2C(=O)NC(=O)C=C2N1,0.88
